Title,Volume,Sales,Floor Price,24 hr Change,Total Ownsers,Change Owners,% Supply Listed,24 hr Listing Change
Something,"11,986Ξ",1744,4.19Ξ,-29.94%,35%,+554,15.6%,"+2,915"
Otherdeed,"6,676Ξ",882,3.37Ξ,-0.59%,34%,+309,13%,+154
BAYC,"1,682Ξ",12,106Ξ,-13.74%,62%,-10,8.7%,+44
MAYC,"1,099Ξ",43,23Ξ,-11.54%,64%,-22,8.1%,+92
Azuki,"1,076Ξ",39,25.77Ξ,-10.54%,53%,+7,9.6%,+76
Doodles,909Ξ,40,22.47Ξ,1.86%,49%*,+29*,7.5%,+87
Moonbirds,740Ξ,27,26Ξ,-13.47%,64%,+20,2.4%,+10
CloneX,625Ξ,34,16.5Ξ,-9.68%,47%,+2,12.4%,+50
10KTF,607Ξ,356,1.1Ξ,-27.59%,27%,+141,4.5%,+131
Ragnarok,474Ξ,185,2.57Ξ,1.92%,49%,-43,3%,-18
PROOF Collective,347Ξ,4,94.1Ξ,-6.79%,93%,-1,2.7%,0
Meebits,334Ξ,48,5.99Ξ,-12.56%,32%,+5,5.9%,+41
Murakami.Flowers Seed,309Ξ,48,5.91Ξ,-17.98%,18%,-1011,100%,0
RTFKT - MNLTH,246Ξ,35,6.49Ξ,-14.56%,22%,-119,100%,0
adidas Originals: Into the Metaverse,245Ξ,174,1.4Ξ,0.78%,70%,-75,0%,0
VeeFriends Series 2,242Ξ,250,0.69Ξ,-8.97%,44%,+29,11.6%,+38
Something Token,211Ξ,687,0.19Ξ,40.26%,43%,+132,10.4%,-15
Akutars,162Ξ,100,1.03Ξ,-32.26%,35%,-29,11.4%,-43
BAKC,148Ξ,18,7.99Ξ,-4.89%,57%,+5,6.1%,+19
Imaginary Ones,140Ξ,132,1.07Ξ,0%,63%,-72,4.7%,-55
3Landers,112Ξ,75,1.29Ξ,-6.9%,60%,+95,13.3%,+124
VeeFriends,108Ξ,10,8.85Ξ,-1.45%,50%,-3,5.8%,+22
Cool Cats,103Ξ,20,4.8Ξ,8.74%,55%,-1,7.2%,+14
CyberBrokers,90Ξ,23,2.92Ξ,-11.52%,37%,-1,9%,-6
World Of Women,89Ξ,17,5.18Ξ,-14.64%,53%,+3,7.7%,-8
The Art of Seasons,88Ξ,67,1.35Ξ,7.99%,41%,+6,5%,-23
NFT Worlds,82Ξ,11,6.2Ξ,-1.59%,7%,-15,1.6%,+19
Impostors Genesis,80Ξ,42,1.84Ξ,-2.23%,50%,-1,1.7%,+11
0N1 Force,78Ξ,131,0.51Ξ,22.61%,54%,+13,8.1%,-20
mfer,75Ξ,38,1.82Ξ,-2.64%,54%,+11,8.3%,+16
KaijuKingz,72Ξ,36,1.01Ξ,-0.99%,58%,+13,7.9%,-10
ShinseiGalverse,65Ξ,236,0.25Ξ,72.16%,46%,-95,14.6%,+58
Karafuru,61Ξ,25,2.37Ξ,0.46%,66%,+6,10.9%,+3
Invisible Friends,59Ξ,11,5Ξ,2.04%,81%,-7,11.5%,-5
DEGEN TOONZ,57Ξ,65,0.72Ξ,-11.12%,43%,-25,9.8%,-18
Psychedelics Anonymous Genesis,56Ξ,22,2.68Ξ,2.59%,61%,-8,6.6%,-20
OnChainMonkey,54Ξ,19,2.1Ξ,6.06%,31%,-2,4.5%,+13
Cool Pets,51Ξ,78,0.62Ξ,4.15%,53%,-36,3.9%,+39
Arcade Land,47Ξ,69,0.36Ξ,1.95%,55%,-28,11.4%,-9
World Of Women Galaxy,45Ξ,53,0.74Ξ,-11.55%,52%,+28,8.6%,-6
HAPE PRIME,37Ξ,32,0.99Ξ,-11.72%,61%,-15,9.1%,+19
MOAR by Joan Cornella,36Ξ,31,0.84Ξ,-8.71%,61%,-17,16.8%,-7
Cryptoadz,35Ξ,12,2.85Ξ,-4.69%,59%,-4,10.1%,+33
EightBit,35Ξ,46,0.69Ξ,-9.74%,36%,+5,11.3%,+45
Quirkies,34Ξ,11,2.74Ξ,-5.52%,43%,-4,15.5%,+23
Metroverse City Block,33Ξ,31,0.9Ξ,-11%,2%*,0*,1.4%,+5
WebbLand,29Ξ,21,1.12Ξ,-5.89%,49%,-15,4.5%,+23
hausphases,29Ξ,20,1.05Ξ,10.99%,67%,-12,2.2%,+11
DeadFellaz,29Ξ,18,1.4Ξ,-9.68%,61%,-5,7.9%,-8
Treeverse,29Ξ,27,1.03Ξ,-15.99%,34%,-10,1.8%,+6
Sappy Seals,28Ξ,42,0.65Ξ,1.67%,10%*,-23*,1.8%,+3
MURI,26Ξ,33,0.69Ξ,-6.81%,61%,-9,7.5%,+30
Milady,26Ξ,36,0.66Ξ,-10.31%,27%,+2,8.5%,+10
Cold Blooded Creepz,25Ξ,23,1.13Ξ,-4.05%,4%*,+9*,1.6%,-3
My Pet Hooligan,24Ξ,22,1.12Ξ,-1.74%,54%,-7,6.1%,+26
Regenz,23Ξ,41,0.59Ξ,-14.57%,60%,+25,10.5%,+17
PudgyPenguins,21Ξ,12,1.81Ξ,3.94%,49%,-7,7.3%,+2
VaynerSports Pass,21Ξ,61,0.23Ξ,-4.93%,47%,-63,7.7%,-34
Degenz,20Ξ,34,0.59Ξ,-18.61%,18%,+33,2.1%,+9
CoolmansUniverse,18Ξ,25,0.63Ξ,1.58%,56%,-2,9.6%,+15
Pixl Pets,16Ξ,82,0.19Ξ,16.12%,27%,-36,2.9%,-44
Gutter Cat Gang,15Ξ,3,5.22Ξ,-12.8%,59%,0,11.5%,+30
ALIENFRENS,15Ξ,16,0.86Ξ,-5.5%,68%,0,11.8%,+17
Boss Beauties,14Ξ,19,0.7Ξ,-15.67%,55%,-2,7.5%,-24
Lazy Lions,14Ξ,15,0.84Ξ,-7.92%,50%,+3,8.8%,+44
SupDucks,12Ξ,28,0.44Ξ,-9.31%,35%,-5,5.4%,-4
Gray Boys,11Ξ,25,0.42Ξ,-18.73%,34%,0,3.7%,-19
FLUF,11Ξ,3,3.25Ξ,-1.52%,36%,-1,5.6%,+16
the littles NFT,11Ξ,44,0.2Ξ,-2.44%,54%,-18,7%,-4
Nuclear Nerds,10Ξ,33,0.21Ξ,4.49%,38%,-8,6.2%,-13
Ether Orcs,9.03Ξ,7,0.94Ξ,-24.65%,1%*,+1*,1.6%,+14
BYOPills,8.97Ξ,12,0.6Ξ,-16.67%,32%,+2,3.6%,+13
MetaHero,8.8Ξ,2,4.34Ξ,-11.65%,3%*,+9*,1.3%,+7
(B)APETAVERSE,8.67Ξ,22,0.39Ξ,-1.68%,46%,-13,8.3%,-20
Tubby Cats,8.43Ξ,42,0.19Ξ,-17.78%,46%,-34,9.5%,+62
Adam Bomb Squad,8.26Ξ,18,0.37Ξ,9.99%,34%,-12,5.7%,-15
Capsule,8.15Ξ,12,0.59Ξ,-8.64%,39%,+28,7.5%,+20
Phanta Bear,8.06Ξ,13,0.59Ξ,-9.7%,51%,+10,8.5%,-2
Critterz,8Ξ,19,0.37Ξ,-32.32%,5%*,+4*,1.9%,-6
MutantCats,7.93Ξ,29,0.23Ξ,-10.45%,15%*,+9*,3.2%,+5
RebelBots,7.89Ξ,15,0.28Ξ,-3.34%,34%,-5,5.4%,-6
Loser Club,7.82Ξ,31,0.21Ξ,-6.67%,52%,-8,13.1%,+39
CryptoDickbutts S3,7.53Ξ,6,0.8Ξ,-3.68%,32%,0,5.8%,-2
Dour Darcels,7.48Ξ,30,0.21Ξ,-0.23%,49%,-4,11.9%,-8
Dippies,7.37Ξ,29,0.2Ξ,-4.77%,64%,-8,12%,-37
Akuma,7.34Ξ,33,0.19Ξ,-9.82%,34%,-2,12.9%,-17
CyberKongz VX,7.11Ξ,5,0.97Ξ,-0.42%,18%,-12,3.4%,+7
FULL SEND METACARD,6.91Ξ,8,0.86Ξ,5.48%,72%,-26,2.1%,-2
Kiwami,6.83Ξ,35,0.14Ξ,-3.88%,42%,-25,11.3%,-9
CryptoSkulls,6.51Ξ,13,0.43Ξ,-4.02%,41%,-2,5.2%,-14
WonderPals,6.46Ξ,47,0.12Ξ,3.87%,68%,-39,9.6%,-17
RugGenesis NFT,6.27Ξ,24,0.19Ξ,-11.56%,48%,-10,3.5%,+25
Chain Runners,5.87Ξ,9,0.68Ξ,-8.77%,33%,-2,6.3%,0
Smilesss,5.83Ξ,11,0.45Ξ,-18.19%,50%,-12,6.9%,+16
Timeless,5.61Ξ,10,0.47Ξ,-17.94%,32%,+5,4.6%,+26
Crypto Chicks,5.57Ξ,14,0.29Ξ,5.35%,44%,-4,7.5%,-7
Jenkins the Valet,5.5Ξ,4,1.2Ξ,-3.15%,42%,-5,1.5%,+6
AcclimatedMoonCats,5.36Ξ,14,0.34Ξ,-15.01%,30%,+7,6.4%,+12
ALPACADABRAZ,5.28Ξ,16,0.28Ξ,-13.18%,45%,+8,6.2%,+3
Robotos,5.16Ξ,11,0.35Ξ,-1.69%,56%,-1,6.1%,+3
Lil Heroes,5.04Ξ,11,0.43Ξ,2.38%,52%,-12,5.5%,+3
SHIBOSHIS,4.97Ξ,8,0.65Ξ,-1.49%,28%,+4,4.9%,-10
Creature World,4.87Ξ,12,0.38Ξ,-9.53%,62%,-3,6.4%,-3
Space Riders,4.74Ξ,73,0.05Ξ,5.35%,39%,+58,14%,-47
Crypto Coven,4.69Ξ,9,0.45Ξ,-9.91%,49%,+4,7.4%,+13
VOX Series 1,4.55Ξ,7,0.55Ξ,-5.83%,38%,-4,2.7%,+21
DeadFrenz,4.28Ξ,18,0.16Ξ,-6.12%,60%,+15,8.2%,+18
FVCK_CRYSTAL//,3.93Ξ,8,0.49Ξ,-13.89%,54%,-5,5.7%,-5
CryptoMories,3.77Ξ,14,0.25Ξ,-0.39%,52%,-7,8.8%,-16
The Doge Pound,3.57Ξ,8,0.43Ξ,-2.28%,54%,+1,4.7%,+2
Edenhorde,3.5Ξ,9,0.39Ξ,-13.34%,30%,-2,4.6%,-10
Meta-Legends,3.48Ξ,30,0.11Ξ,30.33%,39%,-20,5.8%,-37
The Heart Project,3.39Ξ,26,0.12Ξ,-7.34%,58%,-4,6.1%,-31
Neo Tokyo: Outer Identities,2.96Ξ,3,0.69Ξ,-11%,18%,-2,2.3%,+3
MekaVerse,2.92Ξ,9,0.29Ξ,-9.4%,53%,+1,6.6%,+4
Boonji Project,2.9Ξ,23,0.11Ξ,14.99%,43%,-28,5.4%,-27
Weirdos,2.86Ξ,31,0.08Ξ,-13.56%,48%,-18,10.8%,-2
CryptoonGoonz,2.75Ξ,9,0.3Ξ,-3.23%,56%,+2,9.6%,+5
Woodie,2.69Ξ,12,0.17Ξ,-15.01%,40%,+2,4.6%,+14
Prime Ape Planet,2.65Ξ,9,0.19Ξ,-4.05%,61%,+2,9.5%,+19
Goopdoods,2.51Ξ,19,0.09Ξ,-19.66%,42%,-6,11.6%,+41
fRiENDSiES,2.5Ξ,32,0.07Ξ,-22.05%,37%,-9,12.2%,-5
LinksDAO,2.46Ξ,8,0.31Ξ,-1.57%,57%,-3,2.2%,+10
Gh0stlyGh0sts,2.2Ξ,12,0.16Ξ,-36.54%,36%,+4,9.8%,-5
CosmodinosOmega,2.2Ξ,28,0.07Ξ,-11.73%,50%,+2,13.9%,+16
Tasty Bones,2.05Ξ,11,0.19Ξ,-14.58%,68%,0,10%,0
Killer GF,2.03Ξ,9,0.19Ξ,8.27%,51%,+1,9.4%,+26
Little Lemon Friends,2Ξ,25,0.06Ξ,0%,54%,-3,8.5%,-8
Lives of Asuna,1.97Ξ,9,0.15Ξ,-8.63%,53%,-10,7.5%,+6
Desperate ApeWives,1.95Ξ,9,0.18Ξ,-7.08%,44%,+3,6.9%,-11
Wassies by Wassies,1.92Ξ,3,0.54Ξ,-15.63%,27%,+2,4.3%,+6
Dented Feels,1.83Ξ,20,0.08Ξ,-1.25%,50%,+3,9.5%,+5
Starcatchers,1.8Ξ,20,0.07Ξ,-11.84%,55%,-2,8.6%,-6
CryptoBatz by Ozzy Osbourne,1.77Ξ,12,0.12Ξ,-14.29%,67%,-8,8.3%,+17
PartyDegenerates,1.72Ξ,10,0.15Ξ,1.35%,35%,-2,4.8%,+13
GalaxyFightClub,1.71Ξ,4,0.38Ξ,1.33%,26%,+3,3.6%,-2
Gambling Apes,1.69Ξ,6,0.28Ξ,-69.62%,47%,0,3.6%,-8
Sneaky Vampire Syndicate,1.67Ξ,6,0.28Ξ,-6.36%,24%*,+159*,3.4%,+13
WVRPS by Warpsound,1.59Ξ,8,0.17Ξ,-20.19%,47%,-2,6.4%,+30
Hashmasks,1.59Ξ,4,0.36Ξ,-1.61%,31%,+2,3.7%,+8
Fishy Fam,1.43Ξ,18,0.05Ξ,-15.72%,57%,-1,10.6%,-13
Cool Monkes,1.37Ξ,14,0.08Ξ,-10.12%,8%*,-2*,3.1%,+30
uwucrew,1.28Ξ,7,0.17Ξ,-4.75%,41%,+4,5.3%,+9
SuperNormalbyZipcy,1.21Ξ,7,0.17Ξ,-16.75%,49%,-8,8.8%,+28
Cryptorayrays,1.14Ξ,13,0.08Ξ,1.19%,52%,-2,6.3%,-5
The Doggies,1.12Ξ,8,0.11Ξ,-5.05%,68%,+1,8.6%,+8
The Other Side,1.11Ξ,10,0.07Ξ,-24.5%,12%,+8,2.7%,+2
Jungle Freaks,1.07Ξ,3,0.21Ξ,-88.34%,18%,0,3.1%,+3
Wicked Apes,1.04Ξ,13,0.06Ξ,9.09%,49%,-10,7%,+11
GalaxyEggs,1.02Ξ,9,0.1Ξ,-16.11%,48%,-4,6.9%,+28
Swampverse,1.01Ξ,7,0.13Ξ,3.84%,40%,-180,4.9%,-2
HypeBears,0.98Ξ,11,0.08Ξ,0%,41%,-66,4.3%,+3
Groupies,0.96Ξ,9,0.07Ξ,-5.41%,22%*,+3*,3.3%,+2
Dapper Dinos,0.9Ξ,7,0.09Ξ,-5.06%,41%,-5,5.9%,-9
Animetas,0.89Ξ,6,0.1Ξ,-10.72%,40%,-4,6.8%,+27
Apes-R-Us,0.87Ξ,14,0.06Ξ,-7.15%,42%,-9,6.7%,+11
Clay Friends,0.75Ξ,9,0.06Ξ,4.68%,56%,-8,7.6%,+6
Anonymice,0.74Ξ,1,0.7Ξ,-12.51%,11%*,+18*,3.8%,-1
Purrnelopes Country Club,0.71Ξ,2,0.36Ξ,4.34%,35%,+1,2%,-1
CryptoDads,0.61Ξ,6,0.09Ξ,9.75%,69%,-57,5.3%,+10
Robopets,0.6Ξ,7,0.07Ξ,4.16%,49%,-12,3.7%,+4
PABC,0.59Ξ,6,0.06Ξ,0%,55%,-1,6.1%,+1
CryptoHoots,0.59Ξ,4,0.14Ξ,0.6%,35%,-2,4.2%,-5
Divine Anarchy,0.54Ξ,6,0.07Ξ,0%,48%,-3,6.9%,-18
BearX,0.51Ξ,5,0.09Ξ,-3.07%,17%*,-5*,2.8%,-2
Knights of Degen,0.51Ξ,2,0.24Ξ,-0.81%,28%,+3,3.8%,+7
Fluffy Polar Bears,0.46Ξ,8,0.06Ξ,-11.77%,39%,-4,4.4%,+10
Feudalz,0.45Ξ,9,0.04Ξ,33.33%,7%*,-5*,3%,-1
C-01 Official Collection,0.44Ξ,11,0.03Ξ,-26.93%,48%,-174,5%,-19
ExpansionPunks,0.41Ξ,7,0.04Ξ,-20.01%,32%,+1,6.7%,+14
HeadDAO,0.41Ξ,5,0.07Ξ,23.43%,10%*,0*,1.3%,+12
Toy Boogers,0.41Ξ,2,0.19Ξ,-26.08%,61%,+3,10.2%,+7
The Humanoids,0.4Ξ,3,0.08Ξ,21.91%,38%*,-4*,5.7%,+8
Rug Radio Membership Pass,0.38Ξ,14,0.02Ξ,-4.01%,67%,-3,1.7%,+24
Rubber Duck Bath Party,0.36Ξ,12,0.02Ξ,-17.65%,55%,-14,7.2%,-11
Larva Lads,0.36Ξ,1,0.06Ξ,-10.28%,53%,0,6.4%,-2
Fang Gang,0.34Ξ,1,0.07Ξ,-17.78%,49%,0,7.2%,+4
Gooniez Gang,0.33Ξ,6,0.05Ξ,-16.67%,62%,-4,5.7%,+2
KIA,0.3Ξ,8,0.03Ξ,-8.11%,50%,+2,6.4%,-8
Kumo x World,0.28Ξ,5,0.05Ξ,-6.78%,57%,-3,9.3%,+5
Fat Ape Club,0.28Ξ,2,0.01Ξ,7.14%,53%,-3,4.7%,-10
Chibi Apes,0.27Ξ,3,0.08Ξ,-11.12%,62%,-1,9.4%,-1
sunnies,0.26Ξ,11,0.01Ξ,-24.1%,52%,-4,9.8%,-25
A.N.I.M.O,0.23Ξ,4,0.06Ξ,-2.76%,35%,-4,5.3%,-4
NOUNDLES,0.18Ξ,3,0.01Ξ,27.85%,42%*,-3*,2.8%,-14
Weather Report,0.18Ξ,4,0.03Ξ,0.03%,46%,-3,7.7%,+18
More Than Gamers,0.14Ξ,3,0.04Ξ,-5.77%,32%,+3,4.1%,-8
Galactic Apes,0.14Ξ,3,0.04Ξ,-16.67%,36%,+1,3.8%,+4
WhiteRabbitOne,0.13Ξ,4,0.02Ξ,-20.01%,47%,-7,4.6%,+26
WinterBears,0.13Ξ,6,0.01Ξ,0%,45%,+1,4.8%,+1
Superlative Secret Society,0.11Ξ,3,0.03Ξ,-2.52%,54%,-1,5.1%,-2
Rare Ghost Club,0.11Ξ,7,0.01Ξ,75%,49%,-2,4.7%,+8
J. Pierce & Friends,0.09Ξ,6,0.01Ξ,35.71%,48%,-1,6.6%,0
Sevens Token,0.07Ξ,1,0.08Ξ,-10.44%,47%,-6,6.1%,-2
RareBunniClub,0.06Ξ,4,0.01Ξ,-23.08%,36%,0,3.8%,-6
Cosmic Labs,0.05Ξ,2,0.03Ξ,-6.25%,36%*,-1*,3.5%,+2
Spooky Boys Country Club,0.03Ξ,3,0.01Ξ,-6.67%,46%,+1,3.4%,-3
Society of Derivative Apes,0.01Ξ,1,0.01Ξ,-26.01%,50%,-3,5.4%,+19
LSS,0.01Ξ,1,0.01Ξ,-10.97%,18%,0,2%,-5
The Indifferent Duck,0.01Ξ,2,0Ξ,-50%,44%,+3,4.6%,-10
CyberKongz,0Ξ,0,39Ξ,-7.15%,42%,+2,3.3%,+2
NFTrees,0Ξ,0,13Ξ,-15.59%,62%,+1,8.3%,+1
Mind the Gap by MountVitruvius,0Ξ,0,0.27Ξ,42.1%,53%,-1,8.7%,+5
Autoglyphs,0Ξ,0,205Ξ,2.49%,30%,+1,0.9%,0
